"Question","Answer"
"注文のキャンセルはできますか？","【定番商品】発送準備前でしたら可能です。発送準備に入っておりますとキャンセルはできかねます。※受注システムの仕様上、ご注文商品の一部キャンセルはできかねます。また、ご注文に限定商品などキャンセル不可の商品が含まれている場合もキャンセルができかねます。※クーポンをご利用の場合、キャンセル後の再適用はできかねます。\n\n【限定商品】ご注文完了後のキャンセルはできかねます。また、定番商品とあわせてご購入いただいている場合、定番商品のみのキャンセルもできかねます。"
"商品からタグが外れていました","環境配慮の観点からプラスチック製のタグファスナー（ロックス）は使用しておりません。素材説明書は商品に添付しておらず、袋に直接お入れしております。"
"実店舗で購入できますか？","現在、実店舗での販売予定はございません。当サイトからのみご購入が可能です。ポップアップストア等のイベント開催時にはサイトやSNSでお知らせいたします。"
"在庫のない商品は再販しますか？","「Sold out」と表記されている商品につきましては現在再販の予定は決まっていない状況でございます。販売時期が確定いたしましたらサイトやSNSなどでお知らせいたします。"
"商品はいつ届きますか？","【通常販売】ご注文確定後、商品のご用意ができましたら順次発送いたします。発送までに10日ほどお時間をいただく場合がございます。※予約販売の商品と同時にご購入いただいた場合、発送の遅い商品とあわせて配送いたします。お急ぎのお方は通常販売のみのご購入をおすすめいたします。\n\n【予約販売】お届け時期は商品ごとに異なります。各商品ページをご参照ください。※生産の都合でお届けが遅延する場合がございます。※複数の商品を同時にご購入いただいている場合、発送時期の遅い商品にあわせて発送しております。[配送に関するご注意]\n・土日祝日を除く、平日を営業日としております。営業時間外には商品の発送は行っておりませんのでご注意ください。\n・お盆やGW、年末年始等の臨時休業に関しては、その都度サイトのトップやSNSにてお知らせいたします。\n・配送が完了次第、出荷完了メールを自動送信にてお送りいたします。\n・道路交通事情により到着日が前後する可能性がございます。また、離島への配送にはお時間をいただく場合がございます。"
"海外に配送はできますか？","現在、海外への配送は行っておりません。何卒ご了承ください。"
"配送業者はどこですか？","ご注文いただいた商品は佐川急便にてお届けいたします。配送状況は発送完了メールへ記載されている送り状番号を用いてご確認くださいませ。"
"配送先を複数指定することは可能ですか？","配送先を複数ご指定いただくことはできかねます。何卒ご了承ください。"
"別の注文とまとめて送ってもらえますか？","受注システムの仕様上、商品はご注文番号ごとに発送しております。複数のご注文番号の商品をまとめてお送りすることはできません。あらかじめご了承ください。"
"送料はかかりますか？","送料は全国一律【660円(税込)】です。1回のご注文（1つのご注文番号）ごとに送料が発生いたします。複数のご注文番号の商品をまとめてお送りすることはできませんのでご注意ください。"
"配送日時の変更はできますか？","商品の発送準備前でしたら変更を承ることが可能です。変更をご希望の場合はご注文番号とあわせてその旨をこちらよりお知らせください。※注文番号は「#yeni-****」のような文字列です。※商品が発送準備に入っている場合は変更ができかねますこと、ご了承ください。"
"自分に合ったブラのサイズの選び方を教えてください","自分に合ったブラのサイズを選ぶには、まず正しいサイズを知ることが大切です。\n\n【測り方】\n1. アンダーバスト：胸の下（バストの付け根）の周囲をメジャーで測ります。\n2. トップバスト：胸の一番高い位置の周囲を測ります。\n\n【サイズの出し方】\nアンダーバストの数値から、対応するアンダーサイズを選びます。\n例：68cmの場合→70のアンダーサイズ（M）\n\nトップバストとアンダーバストの差からカップサイズを選びます。\n・10cm差：A\n・12.5cm差：B\n・15cm差：C\n・17.5cm差：D\n・20cm差：E\n・22.5cm差：F\n・25cm差：G\n・27.5cm差：H\n\n例：トップバスト80cm、アンダーバスト68cmの場合\n差は12cm→Bカップ相当、アンダーは70→M1サイズが目安となります。\n\n各商品ページにあるサイズ表も参考にして、お選びください。サイズに迷われた場合は、チャットサポートにてお気軽にご相談ください。"
"ショーツ類のサイズ表を教えてください","ショーツ類のサイズは、ヒップサイズによって決まります。以下のサイズ表を参考に、ご自身のヒップサイズに合ったサイズをお選びください。\n\n【ビキニショーツ サイズ表】\n・S：ヒップ82〜90cm\n・M：ヒップ87〜95cm\n・L：ヒップ92〜100cm\n・LL：ヒップ97〜105cm\n\n【ソング サイズ表】\n・S：ヒップ82〜90cm\n・M：ヒップ87〜95cm\n・L：ヒップ92〜100cm\n・LL：ヒップ97〜105cm\n\n【ビキニレースショーツ サイズ表】\n・S：ヒップ82〜90cm\n・M：ヒップ87〜95cm\n・L：ヒップ92〜100cm\n・LL：ヒップ97〜105cm\n\n【ハイウエストショーツ サイズ表】\n・S：ヒップ82〜90cm\n・M：ヒップ87〜95cm\n・L：ヒップ92〜100cm\n・LL：ヒップ97〜105cm\n\nヒップサイズの測り方：お尻の一番高い位置の周囲をメジャーで測ります。\n\nサイズ選びに迷われた場合は、チャットサポートにてお気軽にご相談ください。"
"レースノンワイヤーブラのサイズ表を教えてください","レースノンワイヤーブラのサイズは、アンダーバスト（胸の下の周囲）とカップサイズ（胸の大きさ）によって決まります。お手持ちのブラのサイズを参考に、以下のサイズ表から最適なサイズをお選びください。\n\n【レースノンワイヤーブラ サイズ表】\n・S1：アンダーバスト65cm / A〜Bカップ\n・S2：アンダーバスト65cm / C〜Dカップ\n・S3：アンダーバスト65cm / E〜Fカップ\n・S4：アンダーバスト65cm / G〜Hカップ\n・M1：アンダーバスト70cm / A〜Bカップ\n・M2：アンダーバスト70cm / C〜Dカップ\n・M3：アンダーバスト70cm / E〜Fカップ\n・M4：アンダーバスト70cm / G〜Hカップ\n・L1：アンダーバスト75cm〜80cm / A〜Bカップ\n・L2：アンダーバスト75cm〜80cm / C〜Dカップ\n・L3：アンダーバスト75cm〜80cm / E〜Fカップ\n・L4：アンダーバスト75cm〜80cm / G〜Hカップ\n・LL2：アンダーバスト85cm〜90cm / C〜Dカップ\n・LL3：アンダーバスト85cm〜90cm / E〜Fカップ\n\nサイズ選びに迷われた場合は、お気軽にチャットサポートにてご相談ください。"
"ノンワイヤーブラのサイズ選びについて教えてください","ノンワイヤーブラのサイズは、アンダーバスト（胸の下の周囲）とカップサイズ（胸の大きさ）によって決まります。お手持ちのブラのサイズを参考に、以下のサイズ表から最適なサイズをお選びください。\n\n【サイズの見方】\n例：S1（アンダーバスト65cm / A-Bカップ）\nこれは、普段お使いのブラのアンダーバストが65cm以下、カップサイズがA〜Bの方におすすめのサイズです。\n\n例：M1（アンダーバスト70cm / A-Bカップ）\nこれは、普段お使いのブラのアンダーバストが66〜70cm、カップサイズがA〜Bの方におすすめのサイズです。\n\n【ノンワイヤーブラ サイズ表】\n・S1：アンダーバスト65cm / A-Bカップ\n・S2：アンダーバスト65cm / C-Dカップ\n・S3：アンダーバスト65cm / E-Fカップ\n・S4：アンダーバスト65cm / G-Hカップ\n・M1：アンダーバスト70cm / A-Bカップ\n・M2：アンダーバスト70cm / C-Dカップ\n・M3：アンダーバスト70cm / E-Fカップ\n・M4：アンダーバスト70cm / G-Hカップ\n・L1：アンダーバスト75cm〜80cm / A-Bカップ\n・L2：アンダーバスト75cm〜80cm / C-Dカップ\n・L3：アンダーバスト75cm〜80cm / E-Fカップ\n・L4：アンダーバスト75cm〜80cm / G-Hカップ\n・LL2：アンダーバスト85cm〜90cm / C〜Dカップ\n・LL3：アンダーバスト85cm〜90cm / E〜Fカップ\n\nサイズ選びに迷われた場合は、お気軽にチャットサポートにてご相談ください。実寸サイズ（アンダー・トップ）・ご試着の状態をお知らせいただければ、適切なサイズをご提案いたします。"
"ノンワイヤーブラのアンダーがきつく感じます。どうしたら良いですか？","サイズ表を目安にお選びいただいても、体型によってはアンダーがきつく感じられる場合がございます。一番外側のホックで留めても苦しい・窮屈に感じられる場合は、アンダーサイズを一つ上げることをご検討ください。\n例：M3（アンダー70cm / E-F）がきつい場合、L3（アンダー75-80cm / E-F）をお試しいただくなど。\nただし、アンダーサイズを上げるとバージスライン（ワイヤー部分の幅）も広くなる傾向があります。また、カップサイズ表記が同じでもカップの深さや形状が若干変わる場合がございます。\n具体的な着用感（どのホック位置か、どの部分がきついか等）をチャットサポートにご連絡いただければ、より詳しくアドバイスさせていただきます。"
"ノンワイヤーブラのアンダーはちょうど良い（または少し緩い）ですが、カップが小さいです（胸がカップに収まらない、段差ができる、トップがはみ出るなど）。どうしたら良いですか？","アンダーのフィット感に問題がない場合、カップサイズを一つ上げることをお勧めします。\n例：S2（アンダー65cm / C-D）でカップが小さい場合、S3（アンダー65cm / E-F）をお試しください。\nカップサイズを上げることで、バストをよりしっかりと包み込み、段差やはみ出しの解消が期待できます。\nもしサイズ交換をご希望の場合は、返品・交換リクエストページよりお手続きください。（セット商品は対象外）"
"ノンワイヤーブラのカップが浮く、またはカップ内に空間ができてしまいます。どうしたら良いですか？","カップが浮いたり空間ができたりする場合、カップサイズが大きい可能性がございます。\nカップサイズを一つ下げることをご検討ください。\n例：S2（アンダー65cm / C-D）でカップが浮く場合、S1（アンダー65cm / A-B）をお試しください。\nまた、ストラップの長さを調整することでフィット感が改善される場合もございます。肩紐が緩すぎないかご確認ください。\nサイズ選びに迷われた場合は、具体的なご着用状況（どの部分がどの程度浮くかなど）をチャットサポートまでお知らせください。"
"ノンワイヤーブラのアンダーはきついですが、カップは少し余裕があります（または丁度良いです）。どのサイズを選べば良いですか？","アンダーがきつくカップに余裕がある場合、アンダーサイズを上げ、カップサイズを下げる組み合わせをお試しいただくのが良いかもしれません。\n例：L3（アンダー75-80cm / E-F）でアンダーがきつくカップに余裕がある、実寸がC80/B85相当の場合、LL2（アンダー85-90cm / C-D）をご検討ください。\nアンダーの締め付け感が緩和され、カップのフィット感も改善される可能性があります。\nただし、サイズ選びはお客様の体型や着用感のお好みによって異なりますので、迷われた際はチャットサポートにご相談ください。"
"ノンワイヤーブラを着用してかがむと、胸（特に谷間側）がこぼれたり、はみ出たりします。","かがんだ際に胸がこぼれてしまう場合、カップサイズがバストのボリュームに対して小さい可能性が考えられます。\nまた、yeniのノンワイヤーブラはワイヤー入りブラに比べ、ホールド力がソフトな設計となっております。\n可能であればカップサイズを一つ上げていただくか、肩紐の長さを調整してフィット感を高めることをお試しください。\nもし現在最大サイズをご利用の場合は、現状これ以上大きいサイズのご用意がなく申し訳ございません。その場合は返品も承りますのでご相談ください。（単品ブラのみ）"
"ノンワイヤーブラの脇の部分（カップとストラップの付け根あたり）が体にフィットせず浮いたり、外側に張り出して腕に当たったりします。","ブラの脇部分が浮く、または外側に張り出してしまう場合、いくつかの原因が考えられます。\n1. **バージスライン（ワイヤー幅）が合っていない:** お客様のバストの底面積に対して、ブラのワイヤー幅が広すぎる、または狭すぎる可能性があります。\n2. **カップサイズが合っていない:** カップが大きすぎたり小さすぎたりすると、脇部分のフィット感に影響が出ることがあります。\n3. **アンダーサイズが合っていない:** アンダーが緩すぎるとブラ全体が安定せず、脇部分が浮くことがあります。\nお手数ですが、具体的な着用状況（どの部分がどのように浮くか、普段のブラサイズ、実寸など）をチャットサポートにご連絡いただけますでしょうか。より適切なサイズや原因究明のお手伝いをさせていただきます。"
"サイズ表通りのサイズを選びましたが、着用感がしっくりきません。","サイズ表はあくまで目安となります。バストの形やお肉の柔らかさ、着用感のお好みによって最適なサイズは異なります。\n「アンダーがきつい/ゆるい」「カップが小さい/大きい」「脇が浮く」など、具体的な着用感をお知らせいただければ、チャットサポートにて改めてサイズのご提案をさせていただきます。\nまた、単品ブラに限りサイズ交換も承っておりますので、お気軽にご相談ください。（セット商品は対象外）"
"普段よりワンサイズ上げた方が良いと聞きましたが、本当ですか？","お客様によっては、普段お使いのブラサイズよりもワンサイズ（特にカップサイズ）上げていただくことで、より快適なフィット感が得られたというお声も頂戴しております。\n特にリラックスした着用感をお好みの場合や、バストのボリュームによってはサイズアップをご検討いただくのも一つです。\n最終的にはお客様の体型や着用感のお好みが重要となりますので、サイズ表やレビュー、チャット相談などを参考に、ご自身に合ったサイズをお選びください。"
"授乳中にノンワイヤーブラを使用できますか？","多くのお客様より、授乳中にyeniのノンワイヤーブラをご利用いただいているとのお声を頂戴しております。授乳時には中央部分からカップをめくってご使用いただいているようです。\nただし、yeniのブラは授乳専用に設計されたものではございません。そのため、お客様の体型やバストの状態によってはフィットしなかったり、授乳しづらい場合がございます。\nまた、妊娠中・授乳中はバストサイズが変化しやすいため、サイズ選びが難しい場合がございます点、ご了承ください。"
"フレアショーツのサイズ感について教えてください。他のショーツと同じサイズで良いですか？","フレアショーツは、脚口にゴムを使用せず、ゆったりとしたリラックス感のある履き心地を楽しんでいただけるデザインとなっております。\nそのため、ビキニショーツなど他のデザインのショーツと同じサイズをお選びいただいた場合でも、ウエスト周りなどに少しゆとりを感じられる可能性がございます。\nフィット感を重視される場合は他のデザインのショーツを、リラックス感を重視される場合はフレアショーツをお選びいただくのがおすすめです。"
"ノンワイヤーブラのストラップや金具は金属ですか？金属アレルギーでも使えますか？","yeniのノンワイヤーブラのストラップ調整部分には金具を使用しております。\n金属アレルギーをお持ちの場合、直接お肌に触れることでアレルギー反応が出る可能性がございます。\nご心配な場合は、ご着用前に短時間試していただくか、医師にご相談いただくことをお勧めいたします。ご検討の際には十分にご留意ください。"
"セット商品のブラ（またはショーツ）だけサイズ交換できますか？","大変申し訳ございませんが、ブラとショーツのセット商品や、複数枚のブラがセットになった商品は、衛生面や管理の都合上、一部商品のみのサイズ交換や返品は承っておりません。\nサイズ交換が可能なのは【単品でお求めいただいたブラジャー】のみとなります。ご了承ください。"
"在庫切れ商品の再入荷はいつですか？予約はできますか？","現在「Sold out」表記となっている商品につきましては、具体的な再販時期は未定でございます。また、ご予約も承っておりません。\n再販が決定いたしました際には、公式サイトやInstagram(@yeni_tokyo)、LINEなどでお知らせいたします。\n商品ページにてご希望のサイズを選択し「LINEで再販通知する」ボタンからご登録いただくと、再入荷時にLINEでお知らせが届きますので、ぜひご活用ください。"
"返品・交換の際の返送方法について教えてください。（送料負担など）","【お客様都合によるブラ単品のサイズ交換（初回）】\nお手元の商品を弊社指定の宛先まで【着払い】にてご返送ください。交換品の発送にかかる送料も弊社が負担いたします。\n\n【お客様都合によるブラ単品の返品】\nお手元の商品を弊社指定の宛先まで【元払い（お客様送料負担）】にてご返送ください。ご返送にかかる送料はお客様負担となります。ご返金額は、商品代金のみとなり、商品発送時の送料は返金対象外です。\n\n【不良品・お届け間違いによる返品・交換】\nお手元の商品を弊社指定の宛先まで【着払い】にてご返送ください。交換品をお送りする場合の送料も弊社が負担いたします。\n\nいずれの場合も、納品書（または注文番号メモ）、タグ、付属品などを同梱の上、7日以内にご返送ください。詳細はチャットサポートからの案内に従ってください。"
"交換リクエストをしましたが、交換希望の商品が在庫切れの場合はどうなりますか？","交換ご希望の商品が在庫切れの場合は、誠に申し訳ございませんが交換品をお届けすることができません。\nその場合は、「返品（返金）」にて対応させていただきます。在庫切れが判明次第、チャットサポートより改めてご連絡させていただきます。"
"交換品を複数試したいのですが、まとめて返送できますか？","通常、交換リクエスト1件につき1回のご返送をお願いしております。\nしかし、サイズ選びで複数お試しになりたい場合など、状況によっては特別対応として複数サイズのブラをまとめてご返送いただくことを許可する場合もございます。\nご希望の場合は、チャットサポートにてご相談ください。（ただし、毎回必ず対応できるとは限りませんのでご了承ください。）"
"ZOZOTOWNで購入した商品のサイズ相談や交換はできますか？","ZOZOTOWNでご購入いただいた商品に関しまして、サイズ選びのご相談は当チャットサポートでも承っております。\nしかしながら、返品・交換のお手続きにつきましては、yeni公式サイトでは承ることができかねます。\n恐れ入りますが、ZOZOTOWNの規定に従い、ZOZOTOWNへ直接お手続きをお願いいたします。"
"注文時に住所を間違えました。変更できますか？","商品の発送前でしたら、配送先住所の変更が可能です。正しいご住所をチャットサポートまでご連絡ください。\n発送準備が進んでいる場合や発送後の場合は、弊社での変更ができません。発送完了メールに記載の「配送業者」と「送り状番号（追跡番号）」をご確認の上、配送業者へ直接ご連絡いただき、転送をご依頼ください。"
"住所に不備があるとの連絡が来ました。どうすればいいですか？","ご登録の住所（郵便番号、都道府県、市区町村、番地、建物名・部屋番号など）に誤りや不足がある可能性がございます。\nお送りしたチャットの内容をご確認の上、正しいご住所を期日までにご返信ください。\n期日までにご返信がない場合、ご注文はキャンセル・返金処理となる場合がございます。\nマイページやブラウザの自動入力設定に誤った情報が登録されていないかも併せてご確認ください。"
"長期不在で商品を受け取れず、返送されてしまいました。再送してもらえますか？","お客様のご不在により商品が弊社へ返送された場合、チャットサポートよりご連絡させていただきます。\n再配達をご希望の場合は、指定の期日までにご返信ください。再配達手配をいたします。\n期日までにご返信がない場合は、ご注文はキャンセルとなり、送料を除いた商品代金をご返金させていただきます。"
"注文時にクーポンを使い忘れました。後から適用できますか？","システムの仕様上、ご注文確定後にクーポンを適用することはできません。\nまた、ご注文完了後のキャンセル・再注文も、原則としてお客様ご自身での操作をお願いしております。\n今回は特別対応として送料分を返金、等の対応例も過去にはありましたが、基本的にはご注文確定前のクーポンコード入力忘れにご注意ください。"
"1万円以上購入したのに送料がかかっています。","ご注文金額（クーポン・ポイント適用前の商品代金合計）が10,000円（税込）以上の場合、送料は無料となります。\n決済画面等で送料が加算されているように見える場合でも、最終的なご請求金額では送料が引かれているか、後ほど送料分が返金される場合があります。\n万が一、1万円以上ご購入にも関わらず送料が請求されている場合は、お手数ですがご注文番号を添えてチャットサポートまでご連絡ください。確認し、適切に対応いたします。"
"LINE ID連携をしましたが、クーポンが届きません（または使えません）。","LINE ID連携のお手続き、誠にありがとうございます。クーポンが届かない、または利用できないとのこと、ご不便をおかけし申し訳ありません。\n連携が正常に完了していない、またはシステム上の不具合の可能性がございます。\nお手数ですが、マイページでの連携状況をご確認の上、問題が解決しない場合はチャットサポートまでご連絡ください。状況を確認し、対応させていただきます。"
"クレジットカードの不正利用の疑いがあります。yeniからの請求がありますが、どうすればいいですか？","身に覚えのないyeniからのご請求があったとのこと、ご心配のことと存じます。\nまずは、ご利用のクレジットカード会社へ直接ご連絡いただき、不正利用の可能性がある旨をお申し出ください。\nカード会社様より弊社へ不正利用に関する申し立てがあった場合、弊社にて調査・確認の上、適切な対応（注文キャンセル・返金等）をさせていただきます。\n弊社からお客様へ直接、不正利用に関するご連絡を差し上げることは原則ございませんので、必ずカード会社様を通じてお手続きをお願いいたします。"
